Tweet,Created_At,Cleaned_Tweet
"""From my lightest to my heaviest—insecurities and all, happiness in all. Your weight does not define your worth. Fitness can bring confidence, empowerment, and so many benefits to your physical and mental health, but true happiness comes from loving yourself at every stage. 💞💞 https://t.co/YIInbra5fK",2025-02-11T10:28:06.000Z,lightest heaviestinsecurities happiness weight define worth fitness bring confidence empowerment many benefit physical mental health true happiness come loving every stage
"RT @Anitabaebi: Caring for your mental health and daily habits shouldn't feel like a chore, it should feel engaging, rewarding &amp;motivating…",2025-02-11T10:28:04.000Z,rt caring mental health daily habit shouldnt feel like chore feel engaging rewarding ampmotivating
"@spoonfulofhan ""Mental health awareness"" lady you need to be a bit more aware I think",2025-02-11T10:28:02.000Z,mental health awareness lady need bit aware think
RT @TheNotoriousMMA: The aul rinse and repeat statements ring out again from government officials across social media as 4 people had their…,2025-02-11T10:28:02.000Z,rt aul rinse repeat statement ring government official across social medium people
RT @TheNotoriousMMA: The aul rinse and repeat statements ring out again from government officials across social media as 4 people had their…,2025-02-11T10:28:02.000Z,rt aul rinse repeat statement ring government official across social medium people
RT @y00ngipurrs: need one “hoba” from you know who for mental health https://t.co/hIpjc8tuGV,2025-02-11T10:28:01.000Z,rt need one hoba know mental health
"A holistic approach to professional well-being emphasizes the interconnectedness of mental, emotional, and physical health, fostering a balanced work-life dynamic. Learn more: https://t.co/26EXxFv743   @lioneur",2025-02-11T10:28:00.000Z,holistic approach professional wellbeing emphasizes interconnectedness mental emotional physical health fostering balanced worklife dynamic learn
"RT @narendramodi: Among the most common topics #ExamWarriors want to discuss is mental health and wellbeing. Therefore, this year’s Pariksh…",2025-02-11T10:28:00.000Z,rt among common topic want discus mental health wellbeing therefore year pariksh
"RT @chakrabortty: In Croydon, ""all funding to the local voluntary sector has stopped – slashing specialist support on mental health, homele…",2025-02-11T10:27:59.000Z,rt croydon funding local voluntary sector stopped slashing specialist support mental health homele
"RT @nwl88444048: Despite the ""mental health issues"", the suspect for the knife attacks in Stoneybatter is well enough to be charged to cour…",2025-02-11T10:27:57.000Z,rt despite mental health issue suspect knife attack stoneybatter well enough charged cour
